99,100,101,102,103,104;58,59,60,61,62,63,64,65,66,67,68,69,70,71
20,25,36,45,89;25,36,77,88,98
90,91,92,93,94,95,96,97,98,99,100,101,102,103,104;65,66,67,68,69,70,71,72,73,74
54,55,56,57,58,59,60;58,59,60,61,62,63,64,65,66,67,68,69,70
1,2,3,4;3,4,5,6
81,82,83,84,85,86,87,88,89,90,91,92,93,94,95;72,73,74,75,76,77,78,79,80,81,82,83
60,61,62,63,64,65,66,67,68,69,70,71,72,73;63,64,65,66,67
81,82,83,84,85,86,87,88,89;95,96,97,98,99,100,101,102,103,104,105
93,94,95,96,97,98,99,100,101,102,103,104,105;80,81,82,83,84,85,86,87,88,89,90,91,92,93
74,75,76,77,78,79,80,81,82,83,84,85,86,87;92,93,94,95,96,97,98,99
78,79,80,81,82;99,100,101,102,103,104,105,106,107,108,109,110
9,10,11;33,34,35
74,75,76,77,78,79,80,81,82,83,84;51,52,53,54,55
74,75,76,77,78,79,80,81,82,83,84,85;82,83,84,85,86,87,88,89,90,91,92
55,56,57,58,59,60;91,92,93,94,95,96
93,94,95,96,97,98,99,100,101,102;78,79,80,81,82,83,84,85,86,87,88
97,98,99,100,101,102,103,104,105;76,77,78,79,80,81,82,83,84,85,86,87
9,10,11;11,12,13
57,58,59,60,61,62;82,83,84,85,86
54,55,56,57,58,59,60,61,62,63,64;78,79,80,81,82,83,84,85,86,87
